Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
120,0.9728,0.0484,0.4919,4.54E-07,0.2301,,
121,0.9689,0.0458,0.4926,4.53E-07,0.2292,,
122,0.9649,0.0434,0.4932,4.51E-07,0.2283,,
123,0.9609,0.0414,0.4937,4.49E-07,0.2273,,
124,0.9569,0.0393,0.4941,4.47E-07,0.2264,,
125,0.9529,0.0373,0.4946,4.45E-07,0.2255,,
126,0.9488,0.0353,0.4949,4.44E-07,0.2246,,
127,0.9448,0.0333,0.4952,4.42E-07,0.2237,,
128,0.9407,0.0315,0.4954,4.40E-07,0.2228,,
129,0.9367,0.0299,0.4956,4.38E-07,0.2219,,
130,0.9326,0.0284,0.4958,4.37E-07,0.221,,
131,0.9285,0.0269,0.4959,4.35E-07,0.2201,,
132,0.9245,0.0253,0.4959,4.33E-07,0.2192,,
133,0.9204,0.0238,0.4959,4.32E-07,0.2184,,
134,0.9163,0.0223,0.4958,4.30E-07,0.2175,,
135,0.9122,0.0212,0.4957,4.28E-07,0.2166,,
136,0.9081,0.0201,0.4956,4.27E-07,0.2157,,
137,0.9041,0.0189,0.4954,4.25E-07,0.2149,,
138,0.9,0.0178,0.4951,4.24E-07,0.214,,
139,0.8959,0.0167,0.4949,4.22E-07,0.2131,,
140,0.8918,0.0156,0.4945,4.21E-07,0.2123,,
141,0.8878,0.0146,0.4942,4.19E-07,0.2114,,
142,0.8837,0.0138,0.4938,4.18E-07,0.2106,,
143,0.8797,0.013,0.4934,4.16E-07,0.2098,,
144,0.8756,0.0122,0.4929,4.15E-07,0.209,,
145,0.8716,0.0114,0.4924,4.13E-07,0.2082,,
146,0.8676,0.0106,0.4918,4.12E-07,0.2073,,
147,0.8635,9.81E-03,0.4913,4.11E-07,0.2065,,
148,0.8595,9.19E-03,0.4906,4.09E-07,0.2057,,
149,0.8555,8.64E-03,0.49,4.08E-07,0.2049,,
150,0.8515,8.09E-03,0.4893,4.07E-07,0.2041,,
151,0.8476,7.54E-03,0.4886,4.05E-07,0.2033,,
152,0.8436,6.99E-03,0.4879,4.04E-07,0.2025,,
153,0.8397,6.44E-03,0.4871,4.02E-07,0.2018,,
154,0.8357,5.89E-03,0.4863,4.01E-07,0.201,,
155,0.8318,5.44E-03,0.4855,4.00E-07,0.2003,,
156,0.8279,5.08E-03,0.4847,3.99E-07,0.1995,,
157,0.824,4.71E-03,0.4838,3.97E-07,0.1988,,
158,0.8201,4.35E-03,0.4829,3.96E-07,0.198,,
159,0.8163,3.99E-03,0.482,3.95E-07,0.1972,,
160,0.8124,3.63E-03,0.481,3.94E-07,0.1965,,
161,0.8086,3.26E-03,0.48,3.92E-07,0.1958,,
162,0.8048,2.90E-03,0.479,3.91E-07,0.1951,,
163,0.801,2.54E-03,0.478,3.90E-07,0.1944,,
164,0.7973,2.17E-03,0.477,3.89E-07,0.1937,,
165,0.7935,1.81E-03,0.4759,3.88E-07,0.193,,
166,0.7898,1.44E-03,0.4748,3.86E-07,0.1923,,
167,0.7861,1.08E-03,0.4737,3.85E-07,0.1916,,
168,0.7824,7.11E-04,0.4726,3.84E-07,0.1909,,
169,0.7787,3.46E-04,0.4715,3.83E-07,0.1902,,
170,0.7751,0,0.4703,3.82E-07,0.1895,,
171,0.7715,0,0.4691,3.81E-07,0.1889,,
172,0.7679,0,0.4679,3.80E-07,0.1882,,
173,0.7643,0,0.4667,3.79E-07,0.1876,,
174,0.7607,0,0.4655,3.77E-07,0.1869,,
175,0.7572,0,0.4642,3.76E-07,0.1863,,
176,0.7537,0,0.463,3.75E-07,0.1856,,
177,0.7502,0,0.4617,3.74E-07,0.185,,
178,0.7467,0,0.4604,3.73E-07,0.1843,,
179,0.7433,0,0.4591,3.72E-07,0.1837,,
180,0.7398,0,0.4578,3.71E-07,0.183,,
181,0.7364,0,0.4565,3.70E-07,0.1824,,
182,0.7331,0,0.4552,3.69E-07,0.1818,,
183,0.7297,0,0.4538,3.68E-07,0.1812,,
184,0.7264,0,0.4524,3.67E-07,0.1806,,
185,0.7231,0,0.4511,3.66E-07,0.18,,
186,0.7198,0,0.4497,3.65E-07,0.1794,,
187,0.7166,0,0.4483,3.64E-07,0.1788,,
188,0.7133,0,0.4469,3.63E-07,0.1782,,
189,0.7101,0,0.4455,3.62E-07,0.1776,,
190,0.707,0,0.4441,3.61E-07,0.177,,
191,0.7038,0,0.4426,3.60E-07,0.1764,,
192,0.7007,0,0.4412,3.59E-07,0.1758,,
193,0.6976,0,0.4398,3.58E-07,0.1752,,
194,0.6945,0,0.4383,3.57E-07,0.1747,,
195,0.6914,0,0.4368,3.57E-07,0.1741,,
196,0.6884,0,0.4354,3.56E-07,0.1735,,
197,0.6854,0,0.4339,3.55E-07,0.1729,,
198,0.6824,0,0.4324,3.54E-07,0.1724,,
199,0.6795,0,0.4309,3.53E-07,0.1718,,
200,0.6772,0,0.4294,3.52E-07,0.1712,,
201,0.6754,0,0.4279,3.51E-07,0.1708,,
202,0.6735,0,0.4264,3.50E-07,0.1703,,
203,0.6717,0,0.4249,3.49E-07,0.1698,,
204,0.6698,0,0.4234,3.49E-07,0.1694,,
205,0.668,0,0.4219,3.48E-07,0.1689,,
206,0.6661,0,0.4204,3.47E-07,0.1684,,
207,0.6639,0,0.4189,3.46E-07,0.168,,
208,0.6618,0,0.4173,3.45E-07,0.1675,,
209,0.6597,0,0.4158,3.44E-07,0.1671,,
210,0.6575,0,0.4143,3.44E-07,0.1666,,
211,0.6554,0,0.4127,3.43E-07,0.1661,,
212,0.6533,0,0.4112,3.42E-07,0.1657,,
213,0.6511,0,0.4097,3.41E-07,0.1652,,
214,0.649,0,0.4081,3.40E-07,0.1647,,
215,0.6469,0,0.4066,3.40E-07,0.1643,,
216,0.6449,0,0.405,3.39E-07,0.1638,,
217,0.6429,0,0.4035,3.38E-07,0.1633,,
218,0.6409,0,0.4019,3.37E-07,0.1629,,
219,0.6389,0,0.4004,3.36E-07,0.1624,,
220,0.6369,0,0.3988,3.36E-07,0.162,,
221,0.6349,0,0.3973,3.35E-07,0.1615,,
222,0.6329,0,0.3957,3.34E-07,0.161,,
223,0.6309,0,0.3942,3.33E-07,0.1606,,
224,0.6289,0,0.3926,3.33E-07,0.1601,,
225,0.627,0,0.3911,3.32E-07,0.1596,,
226,0.6251,0,0.3895,3.31E-07,0.1592,,
227,0.6232,0,0.388,3.30E-07,0.1587,,
228,0.6214,0,0.3864,3.30E-07,0.1583,,
229,0.6195,0,0.3848,3.29E-07,0.1578,,
230,0.6176,0,0.3833,3.28E-07,0.1573,,
231,0.6157,0,0.3817,3.28E-07,0.1569,,
232,0.6139,0,0.3802,3.27E-07,0.1564,,
233,0.612,0,0.3786,3.26E-07,0.1559,,
234,0.6101,0,0.3765,3.25E-07,0.1555,,
235,0.6084,0,0.372,3.25E-07,0.155,,
236,0.6066,0,0.374,3.24E-07,0.1546,,
237,0.6049,0,0.3725,3.23E-07,0.1541,,
238,0.6031,0,0.3709,3.23E-07,0.1536,,
239,0.6013,0,0.3694,3.22E-07,0.1532,,
240,0.5996,0,0.3678,3.21E-07,0.1527,,
241,0.5978,0,0.3667,3.21E-07,0.1522,,
242,0.5961,0,0.3659,3.20E-07,0.1518,,
243,0.5943,0,0.365,3.19E-07,0.1513,,
244,0.5926,0,0.3642,3.19E-07,0.1508,,
245,0.5909,0,0.3634,3.18E-07,0.1504,,
246,0.5893,0,0.3626,3.17E-07,0.1499,,
247,0.5876,0,0.3618,3.17E-07,0.1495,,
248,0.586,0,0.3609,3.16E-07,0.149,,
249,0.5843,0,0.3601,3.16E-07,0.1485,,
250,0.5827,0,0.3593,3.15E-07,0.1481,,
251,0.5811,0,0.3585,3.14E-07,0.1477,,
252,0.5794,0,0.3577,3.14E-07,0.1473,,
253,0.5778,0,0.3569,3.13E-07,0.1469,,
254,0.5761,0,0.3561,3.12E-07,0.1464,,
255,0.5745,0,0.3553,3.12E-07,0.146,,
256,0.573,0,0.3545,3.11E-07,0.1456,,
257,0.5715,0,0.3537,3.11E-07,0.1452,,
258,0.5699,0,0.3529,3.10E-07,0.1448,,
259,0.5684,0,0.3521,3.09E-07,0.1444,,
260,0.5668,0,0.3513,3.09E-07,0.144,,
261,0.5653,0,0.3506,3.08E-07,0.1436,,
262,0.5638,0,0.3498,3.08E-07,0.1432,,
263,0.5622,0,0.349,3.07E-07,0.1428,,
264,0.5607,0,0.3482,3.06E-07,0.1424,,
265,0.5591,0,0.3474,3.06E-07,0.142,,
266,0.5577,0,0.3467,3.05E-07,0.1416,,
267,0.5562,0,0.3459,3.05E-07,0.1412,,
268,0.5548,0,0.3451,3.04E-07,0.1408,,
269,0.5534,0,0.3443,3.04E-07,0.1404,,
270,0.5519,0,0.3436,3.03E-07,0.14,,
271,0.5505,0,0.3428,3.02E-07,0.1395,,
272,0.549,0,0.342,3.02E-07,0.1391,,
273,0.5476,0,0.3413,3.01E-07,0.1387,,
274,0.5461,0,0.3405,3.01E-07,0.1383,,
275,0.5447,0,0.3398,3.00E-07,0.1379,,
276,0.5432,0,0.339,3.00E-07,0.1375,,
