Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
830,0.6576,0,0.2677,6.39E-07,0,,
831,0.6571,0,0.2674,6.39E-07,0,,
832,0.6566,0,0.2671,6.39E-07,0,,
833,0.6561,0,0.2668,6.38E-07,0,,
834,0.6556,0,0.2666,6.38E-07,0,,
835,0.6551,0,0.2663,6.37E-07,0,,
836,0.6545,0,0.266,6.37E-07,0,,
837,0.654,0,0.2657,6.37E-07,0,,
838,0.6535,0,0.2654,6.36E-07,0,,
839,0.653,0,0.2651,6.36E-07,0,,
840,0.6525,0,0.2648,6.36E-07,0,,
841,0.652,0,0.2646,6.35E-07,0,,
842,0.6514,0,0.2643,6.35E-07,0,,
843,0.6509,0,0.264,6.34E-07,0,,
844,0.6504,0,0.2637,6.34E-07,0,,
845,0.6499,0,0.2634,6.34E-07,0,,
846,0.6494,0,0.2632,6.33E-07,0,,
847,0.6489,0,0.2629,6.33E-07,0,,
848,0.6483,0,0.2626,6.33E-07,0,,
849,0.6478,0,0.2623,6.32E-07,0,,
850,0.6473,0,0.262,6.32E-07,0,,
851,0.6469,0,0.2617,6.31E-07,0,,
852,0.6464,0,0.2615,6.31E-07,0,,
853,0.6459,0,0.2612,6.31E-07,0,,
854,0.6454,0,0.2609,6.30E-07,0,,
855,0.645,0,0.2606,6.30E-07,0,,
856,0.6445,0,0.2603,6.30E-07,0,,
857,0.644,0,0.2601,6.29E-07,0,,
858,0.6435,0,0.2598,6.29E-07,0,,
859,0.6431,0,0.2595,6.29E-07,0,,
860,0.6426,0,0.2592,6.28E-07,0,,
861,0.6421,0,0.259,6.28E-07,0,,
862,0.6417,0,0.2587,6.27E-07,0,,
863,0.6412,0,0.2584,6.27E-07,0,,
864,0.6407,0,0.2582,6.27E-07,0,,
865,0.6402,0,0.2579,6.26E-07,0,,
866,0.6398,0,0.2576,6.26E-07,0,,
867,0.6393,0,0.2574,6.26E-07,0,,
868,0.6388,0,0.2571,6.25E-07,0,,
869,0.6383,0,0.2568,6.25E-07,0,,
870,0.6379,0,0.2566,6.25E-07,0,,
871,0.6374,0,0.2563,6.24E-07,0,,
872,0.6369,0,0.256,6.24E-07,0,,
873,0.6365,0,0.2558,6.23E-07,0,,
874,0.636,0,0.2555,6.23E-07,0,,
875,0.6355,0,0.2552,6.23E-07,0,,
876,0.635,0,0.255,6.22E-07,0,,
877,0.6346,0,0.2547,6.22E-07,0,,
878,0.6341,0,0.2544,6.22E-07,0,,
879,0.6336,0,0.2542,6.21E-07,0,,
880,0.6331,0,0.2539,6.21E-07,0,,
881,0.6327,0,0.2536,6.21E-07,0,,
882,0.6322,0,0.2534,6.20E-07,0,,
883,0.6317,0,0.2531,6.20E-07,0,,
884,0.6313,0,0.2528,6.20E-07,0,,
885,0.6308,0,0.2526,6.19E-07,0,,
886,0.6303,0,0.2523,6.19E-07,0,,
887,0.6298,0,0.2521,6.19E-07,0,,
888,0.6294,0,0.2518,6.18E-07,0,,
889,0.6289,0,0.2516,6.18E-07,0,,
890,0.6284,0,0.2513,6.17E-07,0,,
891,0.6279,0,0.2511,6.17E-07,0,,
892,0.6275,0,0.2508,6.17E-07,0,,
893,0.627,0,0.2506,6.16E-07,0,,
894,0.6265,0,0.2503,6.16E-07,0,,
895,0.6261,0,0.25,6.16E-07,0,,
896,0.6256,0,0.2498,6.15E-07,0,,
897,0.6251,0,0.2495,6.15E-07,0,,
898,0.6247,0,0.2493,6.15E-07,0,,
899,0.6243,0,0.249,6.14E-07,0,,
900,0.6238,0,0.2488,6.14E-07,0,,
901,0.6234,0,0.2485,6.14E-07,0,,
902,0.623,0,0.2483,6.13E-07,0,,
903,0.6225,0,0.248,6.13E-07,0,,
904,0.6221,0,0.2478,6.13E-07,0,,
905,0.6217,0,0.2475,6.12E-07,0,,
906,0.6212,0,0.2473,6.12E-07,0,,
907,0.6208,0,0.247,6.12E-07,0,,
